Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) THP from IP Exploris FAIMS,Area THP from IP Exploris FAIMS,#Peptides,#Unique,#Spec THP from IP Exploris FAIMS,PTM,Avg. Mass,Description
21,16,P10253|LYAG_HUMAN,281.78,78,78,8.2004E9,200,200,645,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 25 more,105324,Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4
34,3,Q96PD5|PGRP2_HUMAN,280.80,86,86,5.9724E9,133,133,418,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 23 more,62217,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1
11,25,P01876|IGHA1_HUMAN,276.27,100,100,4.117E10,186,100,1457,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 49 more,37655,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2
23,17,Q14624|ITIH4_HUMAN,276.00,54,54,1.2957E10,142,142,580,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 26 more,103357,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4
26,12,P01042|KNG1_HUMAN,268.52,60,60,1.6128E10,144,144,553,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 20 more,71957,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2
46,18,P0C0L5|CO4B_HUMAN,266.31,54,54,5.3846E8,134,11,329,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 22 more,192750,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2
50,19,P0C0L4|CO4A_HUMAN,264.32,54,54,3.043E8,132,9,310,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); 20 more,192784,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2
35,35,P12109|CO6A1_HUMAN,263.19,67,67,4.9577E9,148,148,416,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 21 more,108529,Collagen alpha-1(VI) chain OS=Homo sapiens OX=9606 GN=COL6A1 PE=1 SV=3
55,46,Q5SZK8|FREM2_HUMAN,259.35,45,45,1.076E9,149,149,265,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; Ammonia-loss (N); 8 more,351157,FRAS1-related extracellular matrix protein 2 OS=Homo sapiens OX=9606 GN=FREM2 PE=1 SV=2
39,34,P06396|GELS_HUMAN,258.39,76,76,7.0111E9,130,128,389,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 15 more,85697,Gelsolin OS=Homo sapiens OX=9606 GN=GSN PE=1 SV=1
53,40,P98164|LRP2_HUMAN,257.44,36,36,9.5353E8,159,159,279,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 7 more,521961,Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens OX=9606 GN=LRP2 PE=1 SV=3
44,43,P15924|DESP_HUMAN,256.78,56,56,1.3269E9,190,189,362,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 11 more,331774,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3
33,15,P02765|FETUA_HUMAN,255.88,78,78,9.7403E9,87,87,450,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 27 more,39341,Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2
16,186,P0DOX7|IGK_HUMAN,254.11,82,82,9.2293E7,108,9,862,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 42 more,23379,Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1
58,36,O60494|CUBN_HUMAN,254.09,45,45,1.0434E9,131,131,239,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; 9 more,398738,Cubilin OS=Homo sapiens OX=9606 GN=CUBN PE=1 SV=5
12,58,P01861|IGHG4_HUMAN,252.56,95,95,3.9304E9,158,46,1468,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 59 more,35941,Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1
17,437,P01834|IGKC_HUMAN,249.19,100,100,6.9552E8,93,6,843,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 38 more,11765,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2
92,5,O14773|TPP1_HUMAN,247.72,69,69,1.4945E9,59,59,164,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; 8 more,61248,Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2
20,54,P0DOX2|IGA2_HUMAN,246.79,85,85,2.0217E8,148,25,676,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 47 more,48934,Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2
62,62,P01024|CO3_HUMAN,245.29,63,63,1.1158E9,121,120,224,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 12 more,187147,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
13,60,P01860|IGHG3_HUMAN,244.93,88,88,7.6533E8,146,31,1417,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 72 more,41287,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2
72,33,Q86YZ3|HORN_HUMAN,243.59,27,27,8.2763E8,70,70,190,Acetylation (N-term); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Dihydroxy; 12 more,282389,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2
77,45,P02768|ALBU_HUMAN,243.49,79,79,1.2741E9,94,86,183,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 12 more,69367,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
25,52,P02533|K1C14_HUMAN,241.35,83,83,1.9257E9,133,48,568,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 29 more,51562,Keratin  type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4
47,42,P01009|A1AT_HUMAN,241.32,90,90,4.8826E9,107,105,327,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 8 more,46737,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3
22,61,P01877|IGHA2_HUMAN,240.37,85,85,5.0716E8,112,2,602,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 40 more,36591,Immunoglobulin heavy constant alpha 2 OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=4
109,4,Q5T749|KPRP_HUMAN,238.73,65,65,1.3961E9,52,52,138,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Carbamylation; Methylation(KR); 6 more,64136,Keratinocyte proline-rich protein OS=Homo sapiens OX=9606 GN=KPRP PE=1 SV=1
70,30,P08473|NEP_HUMAN,238.63,73,73,1.2446E9,79,79,195,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; 9 more,85514,Neprilysin OS=Homo sapiens OX=9606 GN=MME PE=1 SV=2
28,63,P02538|K2C6A_HUMAN,236.30,74,74,6.0733E8,146,11,505,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 26 more,60045,Keratin  type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3
24,56,P08779|K1C16_HUMAN,235.74,86,86,3.4072E9,127,62,576,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 26 more,51268,Keratin  type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4
60,28,Q12805|FBLN3_HUMAN,235.44,64,64,4.8422E9,73,73,236,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 8 more,54641,EGF-containing fibulin-like extracellular matrix protein 1 OS=Homo sapiens OX=9606 GN=EFEMP1 PE=1 SV=2
29,59,P48668|K2C6C_HUMAN,234.66,74,74,4.3417E6,139,2,504,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 28 more,60025,Keratin  type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3
83,39,P00450|CERU_HUMAN,234.65,67,67,7.8909E8,85,82,171,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Ubiquitin; 6 more,122205,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1
69,47,Q9Y6R7|FCGBP_HUMAN,234.46,28,28,7.6675E8,108,108,197,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); 6 more,572021,IgGFc-binding protein OS=Homo sapiens OX=9606 GN=FCGBP PE=1 SV=3
56,50,Q12907|LMAN2_HUMAN,233.76,68,68,4.1821E9,73,73,265,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 10 more,40229,Vesicular integral-membrane protein VIP36 OS=Homo sapiens OX=9606 GN=LMAN2 PE=1 SV=1
27,75,P04259|K2C6B_HUMAN,233.46,74,74,1.3517E8,140,7,533,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 29 more,60067,Keratin  type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5
89,41,P00747|PLMN_HUMAN,233.38,74,74,1.3852E9,84,82,166,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 10 more,90569,Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2
95,38,P15144|AMPN_HUMAN,232.86,64,64,9.8264E8,77,77,162,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 10 more,109539,Aminopeptidase N OS=Homo sapiens OX=9606 GN=ANPEP PE=1 SV=4
30,109,P13647|K2C5_HUMAN,232.79,71,71,3.4837E9,147,76,502,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 30 more,62378,Keratin  type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3
82,23,Q6UX06|OLFM4_HUMAN,232.45,78,78,1.8517E9,69,69,173,Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; 4 more,57280,Olfactomedin-4 OS=Homo sapiens OX=9606 GN=OLFM4 PE=1 SV=1
52,79,P98160|PGBM_HUMAN,230.80,20,20,5.0891E9,112,111,287,Acetylation (N-term); Acetylation (K); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); 13 more,468835,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
67,44,Q16769|QPCT_HUMAN,230.54,79,79,3.5333E9,66,66,204,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dihydroxy; 8 more,40877,Glutaminyl-peptide cyclotransferase OS=Homo sapiens OX=9606 GN=QPCT PE=1 SV=1
38,51,P63261|ACTG_HUMAN,230.05,88,88,1.2215E7,90,1,403,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 19 more,41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
37,53,P60709|ACTB_HUMAN,229.94,88,88,6.8695E6,90,1,404,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 19 more,41737,Actin  cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1
32,191,P05090|APOD_HUMAN,228.70,77,77,1.7585E10,89,89,463,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 24 more,21276,Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1
96,29,Q9NZP8|C1RL_HUMAN,226.54,76,76,1.3054E9,65,58,162,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 8 more,53498,Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2
153,9,Q9UGT4|SUSD2_HUMAN,224.41,50,50,5.1183E8,39,39,91,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 2 more,90208,Sushi domain-containing protein 2 OS=Homo sapiens OX=9606 GN=SUSD2 PE=1 SV=1
73,73,Q6EMK4|VASN_HUMAN,224.41,49,49,2.1076E9,86,86,191,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 14 more,71713,Vasorin OS=Homo sapiens OX=9606 GN=VASN PE=1 SV=1
51,77,P10909|CLUS_HUMAN,224.14,72,72,3.5696E9,86,86,291,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); 8 more,52495,Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1
103,81,P07996|TSP1_HUMAN,222.13,59,59,8.7734E8,77,76,152,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 11 more,129383,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2
36,212,O00187|MASP2_HUMAN,220.84,22,22,4.8462E9,79,79,407,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 24 more,75702,Mannan-binding lectin serine protease 2 OS=Homo sapiens OX=9606 GN=MASP2 PE=1 SV=4
108,55,P16870|CBPE_HUMAN,218.44,68,68,1.3926E9,65,65,143,Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; Pyro-glu from Q; 4 more,53151,Carboxypeptidase E OS=Homo sapiens OX=9606 GN=CPE PE=1 SV=1
49,147,P68871|HBB_HUMAN,217.55,96,96,4.2606E9,89,53,313,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; 22 more,15998,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2
42,433,P0DOY2|IGLC2_HUMAN,216.50,97,97,,74,0,364,Deamidation (NQ); Carbamidomethylation; Ubiquitination; Ammonia-loss (N); 2-amino-3-oxo-butanoic_acid; 24 more,11294,Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1
81,125,Q6V0I7|FAT4_HUMAN,216.21,25,25,4.1189E8,99,99,177,Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; Pyro-glu from Q; 5 more,542693,Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2
43,432,P0DOY3|IGLC3_HUMAN,215.95,97,97,5.1997E6,74,2,363,Deamidation (NQ); Carbamidomethylation; Ubiquitination; Ammonia-loss (N); 2-amino-3-oxo-butanoic_acid; 24 more,11266,Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1
45,121,P05154|IPSP_HUMAN,215.82,88,88,8.2594E9,102,101,349,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 11 more,45675,Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3
57,132,P05155|IC1_HUMAN,211.66,64,64,3.8949E9,91,91,263,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); 8 more,55154,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2
40,302,P0DOX8|IGL1_HUMAN,211.31,64,64,5.9622E7,76,5,375,Deamidation (NQ); Carbamidomethylation; Ubiquitination; Ammonia-loss (N); 2-amino-3-oxo-butanoic_acid; 28 more,22830,Immunoglobulin lambda-1 light chain OS=Homo sapiens OX=9606 PE=1 SV=1
121,78,O00391|QSOX1_HUMAN,211.07,54,54,7.2924E8,60,60,120,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; 3 more,82578,Sulfhydryl oxidase 1 OS=Homo sapiens OX=9606 GN=QSOX1 PE=1 SV=3
48,136,Q04695|K1C17_HUMAN,210.93,91,91,5.2167E8,106,41,327,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 23 more,48106,Keratin  type I cytoskeletal 17 OS=Homo sapiens OX=9606 GN=KRT17 PE=1 SV=2
120,72,P06733|ENOA_HUMAN,210.87,76,76,9.8313E8,60,50,122,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamylation; 2 more,47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
138,74,P07288|KLK3_HUMAN,210.54,86,86,1.7874E9,38,36,110,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; Pyro-glu from Q; 4 more,28741,Prostate-specific antigen OS=Homo sapiens OX=9606 GN=KLK3 PE=1 SV=2
80,84,P33908|MA1A1_HUMAN,210.32,64,64,1.1865E9,76,76,178,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); Pyro-glu from Q; 5 more,72969,Mannosyl-oligosaccharide 1 2-alpha-mannosidase IA OS=Homo sapiens OX=9606 GN=MAN1A1 PE=1 SV=3
113,69,P04180|LCAT_HUMAN,210.28,66,66,1.5599E9,46,46,134,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; Pyro-glu from Q; 4 more,49578,Phosphatidylcholine-sterol acyltransferase OS=Homo sapiens OX=9606 GN=LCAT PE=1 SV=1
86,87,P16278|BGAL_HUMAN,209.67,48,48,1.5571E9,63,63,169,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; 7 more,76075,Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=2
156,57,O00468|AGRIN_HUMAN,208.67,38,38,5.8827E8,55,55,88,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 4 more,217318,Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6
41,345,B9A064|IGLL5_HUMAN,208.49,55,55,3.0179E6,70,1,365,Deamidation (NQ); Carbamidomethylation; Ubiquitination; Ammonia-loss (N); 2-amino-3-oxo-butanoic_acid; 26 more,23063,Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2
88,92,P01871|IGHM_HUMAN,208.16,73,73,8.0032E8,54,14,167,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamylation; 6 more,49440,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4
131,86,P21399|ACOC_HUMAN,208.07,60,60,4.4123E8,60,59,114,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; 5 more,98399,Cytoplasmic aconitate hydratase OS=Homo sapiens OX=9606 GN=ACO1 PE=1 SV=3
74,312,P01591|IGJ_HUMAN,207.11,81,81,1.0685E10,44,44,185,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); Pyro-glu from Q; 8 more,18099,Immunoglobulin J chain OS=Homo sapiens OX=9606 GN=JCHAIN PE=1 SV=4
98,402,P17900|SAP3_HUMAN,206.24,81,81,3.4385E9,44,44,160,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dihydroxy; 14 more,20838,Ganglioside GM2 activator OS=Homo sapiens OX=9606 GN=GM2A PE=1 SV=4
140,49,P00352|AL1A1_HUMAN,204.89,67,67,7.6887E8,45,39,107,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 4 more,54862,Retinal dehydrogenase 1 OS=Homo sapiens OX=9606 GN=ALDH1A1 PE=1 SV=2
87,102,P06727|APOA4_HUMAN,204.84,80,80,1.3597E9,76,76,167,Oxidation (M); Deamidation (NQ); Ammonia-loss (N); 2-amino-3-oxo-butanoic_acid; Pyro-glu from Q; 6 more,45399,Apolipoprotein A-IV OS=Homo sapiens OX=9606 GN=APOA4 PE=1 SV=3
133,48,Q02413|DSG1_HUMAN,204.31,45,45,4.4942E8,56,56,113,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamylation; 3 more,113748,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2
75,230,P69905|HBA_HUMAN,203.01,92,92,3.4037E9,48,48,185,Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; Dihydroxy; 12 more,15258,Hemoglobin subunit alpha OS=Homo sapiens OX=9606 GN=HBA1 PE=1 SV=2
110,64,P22792|CPN2_HUMAN,202.81,66,66,1.5469E9,63,63,137,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Carbamylation; 4 more,60557,Carboxypeptidase N subunit 2 OS=Homo sapiens OX=9606 GN=CPN2 PE=1 SV=3
141,68,P55287|CAD11_HUMAN,202.65,54,54,9.77E8,42,42,107,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 4 more,87965,Cadherin-11 OS=Homo sapiens OX=9606 GN=CDH11 PE=1 SV=2
90,122,P02760|AMBP_HUMAN,202.48,69,69,1.9129E9,53,53,165,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 8 more,39000,Protein AMBP OS=Homo sapiens OX=9606 GN=AMBP PE=1 SV=1
111,66,P05062|ALDOB_HUMAN,202.35,89,89,1.2854E9,45,42,136,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; 2-amino-3-oxo-butanoic_acid; 6 more,39473,Fructose-bisphosphate aldolase B OS=Homo sapiens OX=9606 GN=ALDOB PE=1 SV=2
54,526,P01764|HV323_HUMAN,202.21,74,74,2.4421E7,93,9,270,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Pyro-glu from E; 18 more,12582,Immunoglobulin heavy variable 3-23 OS=Homo sapiens OX=9606 GN=IGHV3-23 PE=1 SV=2
124,67,P16444|DPEP1_HUMAN,202.16,78,78,8.0193E8,55,54,119,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ammonia-loss (N); 6 more,45674,Dipeptidase 1 OS=Homo sapiens OX=9606 GN=DPEP1 PE=1 SV=3
127,104,Q8N1N4|K2C78_HUMAN,200.02,64,64,2.125E8,60,40,118,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 8 more,56866,Keratin  type II cytoskeletal 78 OS=Homo sapiens OX=9606 GN=KRT78 PE=1 SV=2
94,672,P01619|KV320_HUMAN,197.70,81,81,1.0949E9,68,28,163,Carbamidomethylation; Pyro-glu from Q; Carbamylation; Pyro-glu from E; Formylation; 16 more,12557,Immunoglobulin kappa variable 3-20 OS=Homo sapiens OX=9606 GN=IGKV3-20 PE=1 SV=2
