Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Chymotrypsin CID,Coverage (%) Chymotrypsin EtHCD,Coverage (%) Tryspsin CID,Coverage (%) Trypsin EtHCD,Area Chymotrypsin CID,Area Chymotrypsin EtHCD,Area Tryspsin CID,Area Trypsin EtHCD,#Peptides,#Unique,#Spec Chymotrypsin CID,#Spec Chymotrypsin EtHCD,#Spec Tryspsin CID,#Spec Trypsin EtHCD,PTM,Avg. Mass,Description
17,19,P10253|LYAG_HUMAN,508.99,93,77,68,66,64,7.3211E9,9.3603E9,1.9027E9,2.8919E9,469,464,462,320,364,248,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 22 more,105324,Lysosomal alpha-glucosidase OS=Homo sapiens OX=9606 GN=GAA PE=1 SV=4
23,46,P01133|EGF_HUMAN,508.69,74,57,52,53,50,4.4738E9,5.7204E9,2.0155E9,2.0311E9,405,404,323,254,284,191,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 9 more,133994,Pro-epidermal growth factor OS=Homo sapiens OX=9606 GN=EGF PE=1 SV=2
44,43,O60494|CUBN_HUMAN,506.22,67,47,34,37,33,9.7164E8,9.8518E8,3.2841E8,3.3169E8,339,339,261,137,162,99,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); Carbamylation; 12 more,398738,Cubilin OS=Homo sapiens OX=9606 GN=CUBN PE=1 SV=5
6,6,P01859|IGHG2_HUMAN,503.48,100,97,94,90,89,7.9186E9,1.534E10,1.2056E10,1.2829E10,372,139,470,463,941,826,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 43 more,35901,Immunoglobulin heavy constant gamma 2 OS=Homo sapiens OX=9606 GN=IGHG2 PE=1 SV=2
24,49,P01042|KNG1_HUMAN,501.64,66,57,55,57,52,1.0347E10,1.1699E10,4.5067E9,4.867E9,310,310,260,204,383,171,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 22 more,71957,Kininogen-1 OS=Homo sapiens OX=9606 GN=KNG1 PE=1 SV=2
16,26,P08571|CD14_HUMAN,500.98,95,85,86,86,81,1.5495E10,1.6688E10,8.3279E9,8.185E9,366,364,487,292,421,221,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 29 more,40076,Monocyte differentiation antigen CD14 OS=Homo sapiens OX=9606 GN=CD14 PE=1 SV=2
10,1,P01857|IGHG1_HUMAN,499.50,100,89,94,82,89,1.8313E6,,,,378,1,505,444,857,632,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 52 more,36106,Immunoglobulin heavy constant gamma 1 OS=Homo sapiens OX=9606 GN=IGHG1 PE=1 SV=1
39,44,P0C0L5|CO4B_HUMAN,491.94,63,34,29,47,41,3.1521E8,4.5447E8,1.6012E8,1.8168E8,280,28,194,116,270,133,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 24 more,192750,Complement C4-B OS=Homo sapiens OX=9606 GN=C4B PE=1 SV=2
13,9,P01876|IGHA1_HUMAN,485.77,91,86,87,87,87,5.5603E9,6.3724E9,1.2968E10,1.4803E10,309,155,346,242,638,362,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 33 more,37655,Immunoglobulin heavy constant alpha 1 OS=Homo sapiens OX=9606 GN=IGHA1 PE=1 SV=2
45,36,P10909|CLUS_HUMAN,481.43,87,73,74,67,69,2.1931E9,2.33E9,1.0842E9,1.1989E9,197,197,185,147,174,113,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 11 more,52495,Clusterin OS=Homo sapiens OX=9606 GN=CLU PE=1 SV=1
29,16,P60709|ACTB_HUMAN,480.39,95,79,82,89,83,5.3333E6,,2.8876E7,2.1674E7,228,2,192,201,268,132,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 18 more,41737,Actin  cytoplasmic 1 OS=Homo sapiens OX=9606 GN=ACTB PE=1 SV=1
28,17,P63261|ACTG_HUMAN,479.98,95,79,82,89,83,,,2.1948E7,2.801E7,225,1,189,200,271,134,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 18 more,41793,Actin  cytoplasmic 2 OS=Homo sapiens OX=9606 GN=ACTG1 PE=1 SV=1
41,45,P0C0L4|CO4A_HUMAN,478.31,64,35,29,47,40,9.1837E7,9.7034E7,5.748E7,8.3375E7,285,33,198,119,260,129,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 23 more,192784,Complement C4-A OS=Homo sapiens OX=9606 GN=C4A PE=1 SV=2
58,52,Q86YZ3|HORN_HUMAN,476.65,38,20,14,23,19,3.1998E8,2.0353E8,2.9244E8,2.4454E8,172,168,138,54,209,82,Acetylation (N-term); Deamidation (NQ); Carbamidomethylation; Methylation(KR); Carbamidomethylation (DHKE  X@N-term); 15 more,282389,Hornerin OS=Homo sapiens OX=9606 GN=HRNR PE=1 SV=2
46,51,P98164|LRP2_HUMAN,474.47,47,28,17,29,24,4.3817E8,4.123E8,2.926E8,2.6238E8,320,320,160,98,196,118,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Sodium adduct; 6 more,521961,Low-density lipoprotein receptor-related protein 2 OS=Homo sapiens OX=9606 GN=LRP2 PE=1 SV=3
54,38,P01024|CO3_HUMAN,471.90,76,49,41,51,44,7.1718E8,7.4079E8,3.6006E8,2.6366E8,241,241,170,109,138,83,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 8 more,187147,Complement C3 OS=Homo sapiens OX=9606 GN=C3 PE=1 SV=2
30,15,P04259|K2C6B_HUMAN,471.85,93,57,54,77,72,1.1188E7,1.0398E6,4.028E7,4.0452E7,232,10,132,93,374,185,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 26 more,60067,Keratin  type II cytoskeletal 6B OS=Homo sapiens OX=9606 GN=KRT6B PE=1 SV=5
49,47,Q6V0I7|FAT4_HUMAN,471.34,49,34,20,23,14,5.5411E8,5.0639E8,1.475E8,1.0735E8,301,300,219,102,130,59,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 7 more,542693,Protocadherin Fat 4 OS=Homo sapiens OX=9606 GN=FAT4 PE=1 SV=2
25,71,Q14624|ITIH4_HUMAN,468.16,71,56,42,42,37,1.4127E10,1.536E10,3.0225E9,3.1924E9,290,290,265,211,297,184,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 25 more,103357,Inter-alpha-trypsin inhibitor heavy chain H4 OS=Homo sapiens OX=9606 GN=ITIH4 PE=1 SV=4
43,39,Q96PD5|PGRP2_HUMAN,468.12,89,67,63,81,77,2.6341E9,2.7077E9,1.5108E9,1.7648E9,247,247,212,140,186,132,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 17 more,62217,N-acetylmuramoyl-L-alanine amidase OS=Homo sapiens OX=9606 GN=PGLYRP2 PE=1 SV=1
37,60,P02538|K2C6A_HUMAN,463.88,93,59,53,78,72,1.3757E7,1.7425E7,8.7135E7,1.049E8,231,13,133,85,336,165,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 27 more,60045,Keratin  type II cytoskeletal 6A OS=Homo sapiens OX=9606 GN=KRT6A PE=1 SV=3
40,14,P48668|K2C6C_HUMAN,461.72,90,53,53,78,72,1.4558E6,,1.0763E6,2.6741E5,228,4,128,91,335,159,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 26 more,60025,Keratin  type II cytoskeletal 6C OS=Homo sapiens OX=9606 GN=KRT6C PE=1 SV=3
34,13,P02533|K1C14_HUMAN,461.16,95,76,68,85,75,1.4103E8,9.9465E7,6.4646E8,6.4892E8,228,86,123,64,382,164,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 18 more,51562,Keratin  type I cytoskeletal 14 OS=Homo sapiens OX=9606 GN=KRT14 PE=1 SV=4
19,68,P0DOX7|IGK_HUMAN,460.85,90,80,80,72,72,1.0619E8,5.1985E7,6.7817E7,7.5869E7,202,18,268,160,655,227,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 40 more,23379,Immunoglobulin kappa light chain OS=Homo sapiens OX=9606 PE=1 SV=1
12,56,P01861|IGHG4_HUMAN,459.83,99,94,91,92,86,4.3615E8,7.8427E8,6.3242E8,8.9201E8,271,51,405,274,616,452,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 38 more,35941,Immunoglobulin heavy constant gamma 4 OS=Homo sapiens OX=9606 GN=IGHG4 PE=1 SV=1
26,33,P02765|FETUA_HUMAN,458.46,86,75,73,73,77,1.5015E10,1.6082E10,2.8659E9,3.1791E9,198,198,283,230,251,119,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 25 more,39341,Alpha-2-HS-glycoprotein OS=Homo sapiens OX=9606 GN=AHSG PE=1 SV=2
35,20,P08779|K1C16_HUMAN,457.29,89,70,59,84,77,1.1888E8,7.6305E7,1.4449E9,1.2134E9,198,81,118,70,379,163,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 19 more,51268,Keratin  type I cytoskeletal 16 OS=Homo sapiens OX=9606 GN=KRT16 PE=1 SV=4
59,41,P00450|CERU_HUMAN,455.62,84,59,56,63,57,8.2109E8,1.011E9,2.3856E8,2.6917E8,209,208,152,110,119,67,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); Carbamidomethylation (DHKE  X@N-term); 7 more,122205,Ceruloplasmin OS=Homo sapiens OX=9606 GN=CP PE=1 SV=1
42,37,P05154|IPSP_HUMAN,455.10,90,70,75,88,74,3.2762E9,3.2008E9,2.2413E9,2.5589E9,207,205,203,115,233,140,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term); 13 more,45675,Plasma serine protease inhibitor OS=Homo sapiens OX=9606 GN=SERPINA5 PE=1 SV=3
32,21,P01009|A1AT_HUMAN,451.60,93,75,72,83,78,4.2452E9,5.5279E9,1.4162E9,1.249E9,226,224,201,184,233,130,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 15 more,46737,Alpha-1-antitrypsin OS=Homo sapiens OX=9606 GN=SERPINA1 PE=1 SV=3
14,70,P01860|IGHG3_HUMAN,450.23,87,71,59,71,62,4.8103E6,1.1079E7,5.8715E7,5.9298E7,255,16,336,306,536,386,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 41 more,41287,Immunoglobulin heavy constant gamma 3 OS=Homo sapiens OX=9606 GN=IGHG3 PE=1 SV=2
79,50,P55287|CAD11_HUMAN,447.59,67,56,54,48,39,1.4838E9,1.6886E9,2.8393E8,2.7239E8,138,129,124,106,61,47,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 12 more,87965,Cadherin-11 OS=Homo sapiens OX=9606 GN=CDH11 PE=1 SV=2
67,53,Q9Y6R7|FCGBP_HUMAN,445.43,35,19,10,20,16,3.825E8,4.0336E8,1.7039E8,1.9786E8,222,222,139,53,133,69,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 8 more,572021,IgGFc-binding protein OS=Homo sapiens OX=9606 GN=FCGBP PE=1 SV=3
20,258,P01834|IGKC_HUMAN,444.52,100,87,94,97,97,,5.5486E7,1.0179E9,8.0976E7,149,3,216,129,614,214,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 35 more,11765,Immunoglobulin kappa constant OS=Homo sapiens OX=9606 GN=IGKC PE=1 SV=2
57,88,Q6EMK4|VASN_HUMAN,441.85,57,47,48,46,38,2.259E9,2.9794E9,7.2637E8,6.4469E8,189,188,174,141,103,66,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 8 more,71713,Vasorin OS=Homo sapiens OX=9606 GN=VASN PE=1 SV=1
50,58,P68871|HBB_HUMAN,438.07,99,88,86,98,95,8.6248E8,1.0721E9,1.6303E9,1.7743E9,160,95,104,81,187,137,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 21 more,15998,Hemoglobin subunit beta OS=Homo sapiens OX=9606 GN=HBB PE=1 SV=2
27,111,P0DOX2|IGA2_HUMAN,437.44,93,72,70,80,68,6.15E8,6.7362E8,1.3445E8,7.328E7,265,57,254,140,309,153,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 42 more,48934,Immunoglobulin alpha-2 heavy chain OS=Homo sapiens OX=9606 PE=1 SV=2
55,102,P98160|PGBM_HUMAN,437.36,25,14,6,16,10,2.6785E9,2.6831E9,1.2589E9,1.1774E9,210,210,160,78,168,92,Acetylation (N-term); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Dihydroxy; 15 more,468835,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4
36,57,P13647|K2C5_HUMAN,436.72,91,69,52,75,68,2.5138E8,2.1133E8,6.7145E8,9.5096E8,246,125,157,97,301,168,Acetylation (N-term); Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 23 more,62378,Keratin  type II cytoskeletal 5 OS=Homo sapiens OX=9606 GN=KRT5 PE=1 SV=3
60,84,P15924|DESP_HUMAN,434.45,60,11,9,47,40,5.3504E7,5.8994E7,3.9859E8,3.7982E8,220,218,34,23,231,156,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 6 more,331774,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3
33,72,P05090|APOD_HUMAN,432.81,86,83,86,74,62,9.233E9,1.1662E10,5.1924E9,5.895E9,143,143,221,161,238,116,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 22 more,21276,Apolipoprotein D OS=Homo sapiens OX=9606 GN=APOD PE=1 SV=1
92,25,P16870|CBPE_HUMAN,429.02,81,67,58,65,60,7.6392E8,1.1141E9,2.8519E8,3.4548E8,116,114,96,69,74,59,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 2 more,53151,Carboxypeptidase E OS=Homo sapiens OX=9606 GN=CPE PE=1 SV=1
38,65,P01877|IGHA2_HUMAN,427.28,88,76,79,81,72,,,,,193,0,223,141,217,137,Acetylation (N-term); Oxidation (M); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); 28 more,36591,Immunoglobulin heavy constant alpha 2 OS=Homo sapiens OX=9606 GN=IGHA2 PE=1 SV=4
48,94,Q12907|LMAN2_HUMAN,420.95,71,64,60,68,67,3.8112E9,4.4891E9,8.426E8,1.0969E9,170,170,150,138,131,111,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 10 more,40229,Vesicular integral-membrane protein VIP36 OS=Homo sapiens OX=9606 GN=LMAN2 PE=1 SV=1
69,28,Q6UX06|OLFM4_HUMAN,420.64,91,65,55,74,67,9.2628E8,1.2578E9,6.009E8,5.6766E8,143,143,89,88,132,71,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term); 6 more,57280,Olfactomedin-4 OS=Homo sapiens OX=9606 GN=OLFM4 PE=1 SV=1
100,99,Q9NPG4|PCD12_HUMAN,416.70,47,40,32,28,23,6.5158E8,7.3082E8,1.5111E8,1.4401E8,122,121,111,66,71,32,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Ubiquitin; 6 more,128994,Protocadherin-12 OS=Homo sapiens OX=9606 GN=PCDH12 PE=1 SV=1
56,81,P05155|IC1_HUMAN,413.76,78,59,61,62,57,1.2526E9,1.4767E9,1.1765E9,1.0923E9,185,185,136,91,161,102,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dihydroxy; 5 more,55154,Plasma protease C1 inhibitor OS=Homo sapiens OX=9606 GN=SERPING1 PE=1 SV=2
82,86,O14773|TPP1_HUMAN,411.74,72,52,47,64,61,1.4408E9,1.5547E9,4.0202E8,3.4427E8,135,135,120,67,101,40,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 8 more,61248,Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2
84,30,Q9NZP8|C1RL_HUMAN,411.52,84,64,56,71,59,1.0544E9,1.3066E9,3.6302E8,4.4994E8,133,128,103,69,95,52,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Dihydroxy; 8 more,53498,Complement C1r subcomponent-like protein OS=Homo sapiens OX=9606 GN=C1RL PE=1 SV=2
77,78,P08473|NEP_HUMAN,408.64,80,53,47,59,54,4.4282E8,5.6667E8,2.6095E8,2.7399E8,151,151,91,71,120,63,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 7 more,85514,Neprilysin OS=Homo sapiens OX=9606 GN=MME PE=1 SV=2
51,624,P0DOY2|IGLC2_HUMAN,405.35,100,90,90,96,96,,,,,113,0,131,59,210,109,Acetylation (N-term); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 25 more,11294,Immunoglobulin lambda constant 2 OS=Homo sapiens OX=9606 GN=IGLC2 PE=1 SV=1
52,623,P0DOY3|IGLC3_HUMAN,404.48,100,90,90,96,96,,,1.273E6,1.2577E7,112,2,129,59,210,109,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 27 more,11266,Immunoglobulin lambda constant 3 OS=Homo sapiens OX=9606 GN=IGLC3 PE=1 SV=1
47,207,P0DOX8|IGL1_HUMAN,403.97,78,74,72,66,61,8.5752E7,1.0393E8,4.1053E6,1.242E7,139,13,135,72,219,120,Acetylation (N-term); Acetylation (K); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; 26 more,22830,Immunoglobulin lambda-1 light chain OS=Homo sapiens OX=9606 PE=1 SV=1
66,80,P16278|BGAL_HUMAN,403.17,73,60,54,49,51,1.2432E9,1.3802E9,4.295E8,4.356E8,165,165,140,92,100,61,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamidomethylation (DHKE  X@N-term); 6 more,76075,Beta-galactosidase OS=Homo sapiens OX=9606 GN=GLB1 PE=1 SV=2
83,69,P00747|PLMN_HUMAN,403.07,81,55,46,74,60,3.8586E8,4.095E8,4.6319E8,5.1191E8,138,131,80,45,128,73,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 6 more,90569,Plasminogen OS=Homo sapiens OX=9606 GN=PLG PE=1 SV=2
88,119,P02768|ALBU_HUMAN,402.82,85,47,38,70,63,1.6171E8,1.7031E8,4.0802E8,4.0227E8,133,123,50,35,137,79,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 8 more,69367,Serum albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
111,85,O00468|AGRIN_HUMAN,402.42,55,29,18,35,22,7.6048E8,9.7653E8,1.2186E8,1.463E8,138,138,93,48,70,34,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 6 more,217318,Agrin OS=Homo sapiens OX=9606 GN=AGRN PE=1 SV=6
95,31,P01871|IGHM_HUMAN,401.40,92,63,58,68,60,2.228E8,6.3492E8,2.412E8,2.7847E8,97,40,66,60,97,64,Acetylation (N-term); Oxidation (M); Acetylation (K); Deamidation (NQ); Carbamidomethylation; 8 more,49440,Immunoglobulin heavy constant mu OS=Homo sapiens OX=9606 GN=IGHM PE=1 SV=4
64,120,P33908|MA1A1_HUMAN,400.96,78,55,53,50,51,8.0871E8,1.1319E9,3.1386E8,3.5085E8,182,168,134,102,103,74,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; Sodium adduct; 4 more,72969,Mannosyl-oligosaccharide 1 2-alpha-mannosidase IA OS=Homo sapiens OX=9606 GN=MAN1A1 PE=1 SV=3
68,93,P68032|ACTC_HUMAN,398.70,67,45,49,53,47,,,,,125,0,90,112,126,63,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 14 more,42019,Actin  alpha cardiac muscle 1 OS=Homo sapiens OX=9606 GN=ACTC1 PE=1 SV=1
104,79,P07996|TSP1_HUMAN,397.64,73,43,31,49,37,2.539E8,3.3109E8,2.4867E8,1.9062E8,132,124,78,39,107,50,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 7 more,129383,Thrombospondin-1 OS=Homo sapiens OX=9606 GN=THBS1 PE=1 SV=2
70,227,O00187|MASP2_HUMAN,397.53,27,19,18,22,19,2.3649E9,2.5809E9,1.2748E9,1.2468E9,114,114,85,64,146,79,Acetylation (N-term); Acetylation (K); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 10 more,75702,Mannan-binding lectin serine protease 2 OS=Homo sapiens OX=9606 GN=MASP2 PE=1 SV=4
131,22,P00558|PGK1_HUMAN,396.56,88,65,56,70,62,1.2926E8,1.9477E8,1.1945E8,1.3153E8,90,72,49,40,73,43,Oxidation (M); Deamidation (NQ); Carbamidomethylation; Pyro-glu from Q; Amidation; 5 more,44615,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
73,98,P62736|ACTA_HUMAN,395.84,65,45,50,50,44,5.3664E6,3.6662E6,,,121,1,93,113,114,44,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 13 more,42009,Actin  aortic smooth muscle OS=Homo sapiens OX=9606 GN=ACTA2 PE=1 SV=1
53,418,B9A064|IGLL5_HUMAN,395.23,56,50,50,56,55,,1.077E7,3.0808E6,3.2449E6,118,3,117,64,212,109,Acetylation (N-term); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Ubiquitination; 26 more,23063,Immunoglobulin lambda-like polypeptide 5 OS=Homo sapiens OX=9606 GN=IGLL5 PE=2 SV=2
140,40,P11142|HSP7C_HUMAN,395.09,80,51,38,56,46,6.2016E7,6.9884E7,6.969E7,6.3818E7,89,48,51,30,78,31,Oxidation (M); Phosphorylation (STY); Deamidation (NQ); Carbamidomethylation; Methylation(KR); 4 more,70898,Heat shock cognate 71 kDa protein OS=Homo sapiens OX=9606 GN=HSPA8 PE=1 SV=1
106,27,P06733|ENOA_HUMAN,394.30,90,72,59,75,65,5.2061E8,5.7688E8,3.241E8,3.0375E8,114,95,78,46,99,51,Acetylation (N-term); Oxidation (M); Deamidation (NQ); Carbamidomethylation; Carbamylation; 5 more,47169,Alpha-enolase OS=Homo sapiens OX=9606 GN=ENO1 PE=1 SV=2
